ES;ESPN_ABBR;NOMBRE
ALEMANIA;GER;
ARABIA SAUDITA;KSA;
ARGELIA;ALG;
ALGERIA;ALG;
ARGENTINA;ARG;
AUSTRALIA;AUS;
AUSTRIA;AUT;
BELGICA;BEL;
BÉLGICA;BEL;
BOSNIA Y HERZEGOVINA;BIH;
BOSNIA-HERZEGOVINA;BIH;
BRASIL;BRA;
CABO VERDE;CPV;
CANADA;CAN;
CANADÁ;CAN;
CHEQUIA;CZE;
REPÚBLICA CHECA;CZE;
REPUBLICA CHECA;CZE;
COLOMBIA;COL;
CONGO DR;COD;
RD CONGO;COD;
REP. DEMOCRATICA DEL CONGO;COD;
REP. DEMOCRÁTICA DEL CONGO;COD;
COSTA DE MARFIL;CIV;
CROACIA;CRO;
CURAZAO;CUW;
ECUADOR;ECU;
EGIPTO;EGY;
ESCOCIA;SCO;
ESPAÑA;ESP;
ESPANA;ESP;
ESTADOS UNIDOS;USA;
FRANCIA;FRA;
GHANA;GHA;
INGLATERRA;ENG;
HAITI;HAI;
HAITÍ;HAI;
HOLANDA;NED;
PAISES BAJOS;NED;
PAÍSES BAJOS;NED;
IRAN;IRN;
IRÁN;IRN;
IRAK;IRQ;
IRAQ;IRQ;
JAPON;JPN;
JAPÓN;JPN;
JORDANIA;JOR;
KOREA DEL SUR;KOR;
COREA DEL SUR;KOR;
MARRUECOS;MAR;
MEXICO;MEX;
MÉXICO;MEX;
NORUEGA;NOR;
NUEVA ZELANDA;NZL;
PANAMA;PAN;
PANAMÁ;PAN;
PARAGUAY;PAR;
PORTUGAL;POR;
QATAR;QAT;
SENEGAL;SEN;
SUDAFRICA;RSA;
SUDÁFRICA;RSA;
SUECIA;SWE;
SUIZA;SUI;
TUNEZ;TUN;
TÚNEZ;TUN;
TURQUIA;TUR;
TURQUÍA;TUR;
URUGUAY;URU;
UZBEKISTAN;UZB;
UZBEKISTÁN;UZB;
USA;USA;Estados Unidos
BÉLGICA;BEL;Bélgica
